listing_id,id,date,reviewer_id,reviewer_name,comments
18666,50158511,10-10-2015,1559265,Jody,Very nice flat. We had easy transportation to everywhere via the Metro. We could see Sagrada Familia from the terrace. Our hosts helped us with questions we had. Thanks!
18674,4808211,27-05-2013,4841196,Caron,"Great location. Clean, spacious flat. Would recommend to anyone."
18674,10660311,02-03-2014,11600277,Juan Carlos,"Mi mejor recomendación para este departamento. Cuida todos los detalles, adicionalmente muy cómodo, limpio, funcional y situado perfectamente. "
18674,41087522,04-08-2015,35231385,Shlomi,"Big apartment, well equipped.
Very good service, excellent location.
Recommended."
18674,81000756,20-06-2016,23223644,Joost,"The Check in was fast and flexible. The price is fair, because the flat ist big enough for 8 people if you are flexible as well. We were the in a time where it wasn't so hot outside, so I have no idea how hot it can get inside. This was my second Airbnb stay so I can't compare it so good with other apartments but I would wish me, that the owner, offers the guests more toilet paper  etc. . Because if it is a short stay, you don't want to buy all the staff in big packages. 


All in all we are very happy with this decision "
18674,278588962,18-06-2018,4756672,Marius,"Great location and enough space in the apartment for 7 people. Although the mattresses were a bit too soft and the house is quite noisy, its a solid choice for a big group of people for a weekend in barcelona."
18674,408388148,04-02-2019,118847863,Sonora,"Our experience here was mixed. 
The location of this flat is super close to La Sagrada Familia, and there are lots of cute restaurants and cafes nearby. 

The flat itself wad impersonal and not well represented by the photos. The folks who rent this spot have a bunch of other places in the city. So even though it was spacious, it lacked charm, and was heavily used without being heavily cleaned.

There were extra pillows, but no extra pillow cases; the one spare blanket was covered in unwashed food stains (as was the furniture); and while the large bed was comfy, the small bed I slept in felt like laying on a box filled with metal springs. 

I have an Airbnb if my own, and work very hard to accurately represent my space. It was disappointing not to find that to be the case here.

That said, check-in was easy, and when we had trouble with the heater, the response was quick."
23197,199839,15-03-2011,409630,Tim,"We (5 friends) were staying for a conference in the nearby center and were pleasantly surprised. The apartment was clean, quiet, modern and spacious. It had extensive commodities like laundry machines, fast internet, dish washer and a nice balcony.
I would definitely recommend it!"
23197,857673,11-01-2012,1594062,Aaron,The host canceled my reservation 138 days before arrival.
23197,40030652,27-07-2015,4933115,Thomas,We had a nice stay at the apartment. It is a 10 min walk to the beach and a 5 minute walk to a huge shopping center. The apartment is spacious and has a well equipped kitchen. We would stay there again. 
23197,48679422,28-09-2015,154018,Addison,"Great apartment! It was plenty spacious for us, and the balcony is just great. Tony was super helpful getting me oriented and giving us tips for our stay. We were going to a conference at CCIB, which is just down the street. Getting into the center was also very easy since we had a tram stop right in front of the building and a metro stop a short walk away. We would definitely stay there again in a heartbeat!"
23197,50292863,11-10-2015,11726135,Wallace,"I stayed in Marnie's apartment with two colleagues while attending a conference at the CCIB Centre in Barcelona. The apartment is lovely and very convenient to the Convention Centre. It's also a short walk to a shopping centre that has a supermarket. The apartment was very clean and well appointed. We felt very at home and there were even some Spanish beers left for us in the fridge.

I would be very pleased to stay again."
23197,58913119,05-01-2016,50658453,Alix,"L appartement est spacieux chaleureux, calme et bien équipé . Attention il est situé à Badalona assez loin du centre de Barcelone contrairement au posionnement annoncé sur la carte. Comptez 12 à 20 euros de taxi pour rejoindre le centre. La place plus la place de parking en sous sol n est pas non plus comprise dans le prix ce qui est un peu mesquin à  mon goût vu les tarifs pratiques mais on s est quand même bien amusés."
23197,63802917,27-02-2016,29124245,Daniel,"The apartment was great! Convenient location, really clean, and there was even a bottle of wine waiting for us!"
23197,73435617,08-05-2016,60518621,Travis,"The Forum Deluxe apartment hosted by Etain was excellent, overall.

A group of 4 colleagues stayed in this apartment during our business trip to the Barcelona CCIB conference center and were very pleased with our stay.

Pros:
- very close (5 min walk) to the CCIB conference/convention center and beach
- very clean and well-equipped, modern apartment which has been accurately advertised by the host
- local area felt safe
- 4 physical beds for 4 individual sleeping arrangements (2 double options available for a total of 6 bed spaces)--as advertised
- We were able to reserve the entire apartment with only 4 guests

Suggested improvements:
- we experienced some timing/coordination inconvenience due to having only 2 apartment keys. This could easily be resolved if the host can provide 1 key/guest as-needed, especially for business travelers. Note: the apartment host (Etain) has been excellent and we expect this accommodation will be made.
- we were not initially aware of an additional, cash-only fee (""tourist tax"") which was requested during check-in. Rate was .72 x person x night and was rounded up to nearest Euro. E.g., total for our 4 person, 5 night stay was 15 Euro.
"
23197,86089088,14-07-2016,61965582,Annichen,"Great apartment, wounderful host and nice safe area. A bit further outside city center than we thought but easy to catch tram or metro. We might come again "
23197,87576557,20-07-2016,70806092,Tim,The apartment was absolutely beautiful! Perfect for our family. It was close to the metro and an easy walk to Diagonal Mar mall and lots of restaurants. Communication with our host was very helpful before and during our stay. We highly recommend this apartment for an awesome stay in Barcelona!
23197,93939986,14-08-2016,72514078,Flora,"Litt vanskelig å finne stedet, og drosjesjåføren slet litt, men vi ble møtt. Leiligheten var som den ble beskrevet, og alt fungerte fint. Fin terasse, men det er  noe bråk fra veien (selv om det ikke er den mest trafikerte veien i byen). Vi fikk frastjålet en sykkel fra gaten. Stod låst, men var borte på 10 minutter. Det skjer overalt i Barcelona, og var en påmindelse om at man bør passe på spesielt i Metro osv. 
Ellers går trikken rett utenfor leiligheten og det er lett å komme seg til byen eller standen. "
23197,98968732,02-09-2016,27763084,Nigel,"We had a wonderful 8 day stay at this apartment. We were attending a convention at the CCIB which is ~700m away  (an easy stroll) and we had a 5y old with us. 

We liked:
a) presence of a supermarket and a mall 700m away
b) easy tram access (50m away) & metro access (650m away) at El Maresme/Forum stop
c) lots of food around the metro stop and at the mall
d) very clean , well-kept apartment with all modern conveniences, great layout with a lovely balcony to sit in. The memory foam pillows in the master bedroom were a plus!
e) cool sea breeze throughout the day blowing thru the apartment, which was good for hot summers
f) Etain was also very responsive, and although she was away while we were in Barcelona, another person was there to help us settle in, and also to check out.

Overall, a very comfortable stay, in a lovely modern apartment. Two thumbs up!"
23197,110841659,28-10-2016,69414118,Andrius,Fantastic experience! Very easy to get to! Very close to the L4 Metro from Fórum to get into the city. Get the T-10 ticket if you plan to take the metro more than a few times. The apartments was fantastic! I was in town for 2 weeks and did a load of laundry and having a dryer was a rarity in the area. Everyone was friendly and welcoming. The entire experience was 5-stars!
23197,124554547,02-01-2017,16921190,Gabriel,"Good place, 

Excellent host.

I'll book it again next time I'll go to Barcelona"
23197,134974650,02-03-2017,52569384,Sema,"Great apartment, very clean and lots of space."
23197,143913329,14-04-2017,61010096,Samanta,"The place was as described and more. They accommodate out check in time. We were received by Tony who was wonderful. He gave us tips of places to go during our stay. Also, we had cold beverages waiting for us which it was a nice touch. The place was perfect. We were located at a first floor and with a beautiful balcony. In overall, I recommend this place to anyone who visits Barcelona. "
